user_id,product_id,interaction_score
31,144,4.5
22,90,4.5
43,145,3.5
45,114,8.0
25,130,4.0
32,60,7.0
42,93,1.5
44,64,5.5
43,5,1.5
44,130,1.0
9,8,5.5
31,76,9.5
47,37,7.0
27,112,5.5
46,124,4.0
46,134,5.0
30,97,8.5
42,149,3.5
12,66,8.5
24,149,4.0
34,30,4.0
47,101,5.0
46,54,4.5
37,38,4.5
28,107,8.0
30,107,5.5
18,100,5.0
36,110,2.0
12,139,2.5
37,83,4.5
22,1,3.0
21,135,5.0
34,20,5.5
23,56,3.5
46,67,3.0
4,77,6.5
46,7,9.5
23,123,9.5
33,10,4.5
43,72,3.0
42,104,8.0
1,107,6.5
9,134,6.0
25,144,5.5
41,73,6.0
8,150,7.0
36,25,3.0
18,28,5.5
33,140,3.0
7,82,1.5
20,40,6.5
4,24,4.0
37,115,4.5
12,33,7.5
15,2,3.5
9,52,8.5
3,135,3.0
7,135,5.0
11,140,4.0
8,78,5.0
43,117,4.5
7,14,4.0
45,88,1.0
50,38,5.0
45,99,3.5
36,127,5.5
24,10,2.0
20,65,2.0
49,105,8.5
46,100,1.0
33,49,2.5
12,33,2.5
10,104,9.5
7,6,3.0
48,31,8.0
10,35,4.5
17,38,1.0
13,142,4.5
10,147,8.5
18,9,9.5
46,62,6.5
33,36,5.0
42,103,7.5
9,20,6.5
42,3,2.0
38,39,6.5
41,107,4.5
29,107,1.5
45,1,6.5
39,10,3.0
32,118,5.0
45,75,1.5
50,141,5.5
15,29,4.5
14,124,5.5
8,65,5.0
48,62,7.5
8,73,5.0
41,117,1.0
6,83,4.0
43,77,6.5
6,65,9.5
41,81,7.5
7,9,8.0
45,146,2.0
50,49,5.0
9,81,1.0
10,140,8.5
44,132,3.5
12,90,5.5
33,104,6.5
19,129,7.0
22,1,6.5
38,105,5.0
14,109,5.0
17,76,4.0
50,69,5.5
49,142,3.0
40,67,4.5
43,130,6.5
47,115,4.0
7,121,4.0
19,84,5.0
1,129,4.0
35,24,1.0
31,66,5.5
19,31,8.5
33,23,6.5
15,147,5.5
46,29,1.0
9,68,1.0
26,15,1.0
18,124,9.5
28,25,6.5
16,8,2.0
15,63,3.5
9,39,8.0
16,130,8.0
6,127,6.0
4,107,6.0
13,34,8.0
43,29,5.5
40,113,5.5
9,55,4.5
19,28,5.0
6,59,5.5
36,45,3.5
45,132,4.5
2,20,2.0
5,6,4.0
41,34,3.0
37,143,2.5
43,140,3.0
6,104,9.5
26,73,6.0
44,10,5.0
27,70,1.5
20,9,4.5
27,67,5.0
4,13,2.5
38,54,8.0
6,34,2.0
21,88,6.5
14,126,8.5
8,18,6.0
36,24,2.5
3,61,2.5
12,79,1.0
10,138,4.5
30,96,5.5
45,35,4.0
25,76,7.0
11,115,4.5
30,17,8.5
24,141,5.0
36,67,1.5
3,76,4.0
36,138,4.0
48,30,3.0
38,133,4.5
22,51,2.5
26,126,5.5
4,71,3.0
5,46,5.5
11,144,8.5
8,96,6.0
14,4,9.5
23,133,3.0
4,123,5.5
13,78,3.0
9,58,6.5
34,119,5.0
39,77,9.5
26,47,8.5
17,10,3.0
35,64,5.5
35,114,3.0
17,100,9.5
28,116,1.5
38,131,3.0
24,7,4.5
24,145,8.0
26,131,8.0
21,8,5.0
6,147,7.0
44,86,9.5
49,28,6.0
23,119,1.0
7,4,5.5
30,127,5.0
40,77,5.0
38,76,6.5
12,146,4.5
20,38,9.5
29,91,5.5
11,121,5.0
47,99,6.0
41,67,7.5
37,60,4.0
6,120,5.0
22,109,4.5
45,123,9.5
18,115,2.5
18,138,2.0
18,12,3.5
28,123,6.0
29,83,6.5
7,40,3.0
34,55,3.0
5,99,5.5
24,98,6.5
26,65,6.5
14,141,4.0
38,18,1.5
13,23,4.5
26,48,2.5
4,84,3.5
26,129,8.5
45,49,5.0
45,34,4.0
41,144,6.5
17,121,4.5
21,127,8.5
44,1,5.5
4,85,9.5
20,19,6.5
25,55,5.5
10,68,3.5
29,101,6.0
40,27,1.0
29,141,5.5
7,121,5.0
40,108,1.5
26,3,1.0
22,107,4.5
7,92,1.5
13,122,5.0
14,54,1.5
46,106,6.5
7,52,5.0
40,15,9.5
8,108,5.0
41,68,2.5
41,133,1.0
39,7,5.0
32,125,5.0
6,107,4.5
37,93,4.0
8,44,2.5
40,22,3.5
7,130,9.5
8,115,4.5
27,107,2.0
28,127,2.5
45,111,6.0
23,45,3.0
28,145,2.0
40,68,3.0
7,45,1.0
16,45,1.0
32,82,4.0
45,129,1.5
16,30,3.0
41,145,1.0
19,2,8.5
26,95,4.5
19,43,5.0
37,67,6.5
1,129,2.0
33,135,9.5
1,136,5.5
23,88,8.0
18,140,7.5
7,47,3.0
44,126,4.5
43,66,6.0
25,141,7.0
36,17,3.5
37,117,7.5
6,94,9.5
41,95,3.5
14,4,4.5
8,30,8.0
16,81,6.5
17,139,7.5
50,45,5.5
46,65,4.5
43,147,1.0
34,95,4.0
35,125,6.5
9,134,4.0
16,54,9.5
29,75,8.0
6,8,6.5
41,85,2.5
12,61,8.0
43,28,7.0
25,37,4.0
10,137,6.5
23,36,5.5
22,33,5.5
17,38,8.0
47,60,6.5
22,86,5.0
42,37,5.5
49,35,5.0
29,65,2.0
47,5,9.5
22,74,4.5
33,104,3.0
31,57,4.0
47,62,4.5
17,98,5.5
18,149,8.5
49,64,3.0
37,16,7.0
8,1,7.0
4,71,4.5
5,31,7.5
21,13,6.5
13,118,1.0
21,77,5.5
27,41,3.0
48,16,4.5
5,143,1.0
44,130,9.5
34,27,6.5
30,122,3.0
7,148,3.5
27,42,7.5
44,133,2.0
19,64,1.0
43,62,6.5
42,116,4.0
15,142,7.5
11,136,3.5
48,12,8.0
12,122,5.0
19,130,8.0
3,88,5.0
23,39,6.5
50,19,1.5
34,81,2.0
4,50,2.5
22,58,5.5
24,27,7.5
12,120,4.5
16,45,5.5
27,139,3.0
27,105,4.5
4,20,5.5
6,18,2.0
50,141,1.0
12,26,4.5
50,105,1.5
18,51,8.0
42,27,4.0
14,17,6.5
46,24,4.0
34,7,1.0
15,58,5.5
29,36,4.0
19,54,4.5
33,80,3.5
2,81,6.5
10,45,6.5
17,96,4.0
20,62,8.5
27,135,6.5
46,18,8.0
17,58,6.0
28,122,7.5
31,9,4.0
10,13,8.0
26,12,1.5
35,97,4.5
10,145,5.0
42,18,1.0
36,22,3.5
14,136,7.0
43,139,6.5
4,92,8.5
4,50,1.0
48,28,6.5
27,12,8.0
18,147,6.0
25,141,3.5
9,23,7.5
3,127,7.0
39,101,6.5
24,83,9.5
46,143,7.0
16,127,3.0
45,1,6.0
44,1,3.5
41,11,5.0
10,123,2.0
37,21,5.0
11,8,7.5
23,97,4.5
41,28,4.0
15,102,7.5
41,150,5.5
14,65,1.0
44,60,7.0
20,27,6.5
15,17,7.0
11,100,8.0
23,118,8.0
36,1,1.0
19,52,1.0
29,55,7.0
49,146,7.5
25,106,7.0
18,127,4.0
30,33,4.0
5,61,9.5
5,109,5.0
10,55,8.0
23,38,2.0
44,23,5.5
3,134,5.5
34,32,5.0
15,112,4.5
35,64,3.5
12,76,3.0
10,34,1.0
49,15,7.5
21,87,4.5
14,136,3.5
36,72,7.5
3,53,3.0
28,139,5.0
11,106,4.5
37,19,3.0
48,73,8.0
46,52,4.5
23,126,3.5
43,33,1.0
12,124,4.5
18,133,4.5
32,121,5.0
21,67,8.0
9,108,4.0
30,103,1.5
37,67,5.5
22,98,1.0
22,71,4.5
25,72,3.0
10,126,8.5
33,98,6.5
1,25,5.0
23,108,4.0
47,46,4.0
28,150,3.0
34,145,7.0
32,139,5.5
33,107,5.0
21,122,3.0
11,144,9.5
43,105,4.0
